LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
3900,102143.0,118742.0,HomeImp,Office,2.0,0.0,0.0,85.277365579,0.0,13.0,29.343921089
3900,21200.0,39000.0,DebtCon,Mgr,4.0,0.0,1.0,86.566666667,2.0,14.0,
4000,105164.0,112774.0,HomeImp,Office,1.0,0.0,0.0,94.724874167,0.0,13.0,29.390928055
4000,26572.0,31960.0,HomeImp,Office,11.0,0.0,0.0,117.79510387,0.0,8.0,41.286491948
4000,17000.0,52012.0,HomeImp,ProfExe,22.0,3.0,1.0,85.333333333,1.0,9.0,
4000,29562.0,37200.0,DebtCon,Other,6.0,0.0,0.0,92.133333333,1.0,26.0,
4000,5700.0,18000.0,DebtCon,Other,,0.0,0.0,12.2,0.0,17.0,
4000,7000.0,16020.0,HomeImp,Other,18.0,0.0,1.0,85.8,2.0,23.0,
4000,62000.0,78000.0,HomeImp,Other,4.0,0.0,0.0,109.56666667,0.0,15.0,
4100,,19132.0,HomeImp,Other,0.0,0.0,0.0,100.77465221,0.0,19.0,33.840919904
4100,58500.0,65000.0,HomeImp,Other,8.0,1.0,2.0,63.933333333,2.0,15.0,
4200,34800.0,50225.0,HomeImp,Other,2.0,1.0,0.0,93.5,1.0,5.0,
4200,44000.0,55085.0,DebtCon,Unknown,6.0,,1.0,75.433333333,,16.0,
4200,66272.0,82953.0,HomeImp,Other,3.0,0.0,0.0,110.27866259,0.0,15.0,43.450587911
4300,68815.0,79852.0,HomeImp,Other,6.0,0.0,0.0,105.12070881,0.0,14.0,41.806376152
4400,53091.0,64074.0,DebtCon,Office,14.0,1.0,3.0,89.86105825,0.0,17.0,39.158084834
4500,66127.0,79087.0,HomeImp,Other,4.0,1.0,0.0,81.349065098,0.0,15.0,40.70530876
4500,71082.0,79247.0,HomeImp,Other,4.0,0.0,0.0,118.76041007,0.0,14.0,41.421110521
4500,34184.0,46000.0,HomeImp,Mgr,3.5,0.0,1.0,122.6,2.0,22.0,
4500,45500.0,50000.0,HomeImp,Other,6.0,0.0,0.0,86.166666667,0.0,18.0,
4500,90000.0,105800.0,HomeImp,Other,6.0,2.0,3.0,80.1,3.0,10.0,
4700,53918.0,59511.0,DebtCon,Unknown,6.0,,0.0,54.13647743,,15.0,34.416507811
4700,49100.0,58238.0,HomeImp,ProfExe,0.1,0.0,0.0,61.8,2.0,17.0,
4700,26900.0,45000.0,HomeImp,ProfExe,9.0,1.0,2.0,90.466666667,1.0,16.0,
4900,25597.0,23031.0,HomeImp,Other,5.0,0.0,0.0,101.74676644,0.0,8.0,33.243156978
4900,67794.0,84630.0,HomeImp,Other,4.0,0.0,0.0,112.57341888,0.0,15.0,41.673996362
4900,44000.0,59745.0,HomeImp,Other,10.0,0.0,0.0,81.5,3.0,13.0,
4900,65576.0,65774.0,HomeImp,Other,6.0,1.0,2.0,61.64250608,1.0,14.0,40.590910018
5000,47479.0,61690.0,DebtCon,Unknown,5.0,,0.0,65.032969007,,16.0,36.699414922
5000,66839.0,87168.0,HomeImp,Other,4.0,0.0,0.0,122.59722258,0.0,15.0,40.616779346
5000,22320.0,34900.0,HomeImp,Other,10.0,0.0,0.0,65.7,1.0,5.0,
5000,40000.0,70500.0,HomeImp,Mgr,0.4,0.0,0.0,61.766666667,2.0,8.0,
5000,100882.0,102700.0,HomeImp,Mgr,5.0,0.0,1.0,58.866666667,0.0,16.0,
5000,63125.0,126500.0,HomeImp,Office,3.0,0.0,0.0,100.3,0.0,14.0,
5000,,132000.0,HomeImp,Other,17.5,0.0,2.0,121.9,0.0,14.0,
5000,,9100.0,HomeImp,Other,1.0,0.0,0.0,54.733333333,2.0,8.0,
5000,34200.0,50830.0,HomeImp,Other,6.0,0.0,0.0,57.0,1.0,9.0,
5000,,71277.0,HomeImp,Other,10.0,0.0,0.0,72.433333333,1.0,12.0,
5000,16600.0,25250.0,HomeImp,Other,6.0,0.0,0.0,88.7,1.0,3.0,
5000,22700.0,34225.0,HomeImp,Other,4.0,0.0,0.0,74.633333333,3.0,9.0,
5000,,65400.0,HomeImp,Office,1.5,0.0,0.0,51.766666667,0.0,4.0,
5000,,37500.0,HomeImp,Other,,0.0,3.0,107.13333333,10.0,5.0,
5000,78565.0,98500.0,DebtCon,ProfExe,24.0,0.0,0.0,51.766666667,3.0,14.0,
5000,85165.0,107940.0,HomeImp,Mgr,6.0,5.0,3.0,122.76666667,5.0,28.0,
5000,71571.0,85100.0,DebtCon,ProfExe,1.4,0.0,1.0,82.133333333,0.0,13.0,
5000,61999.0,75021.3,HomeImp,Other,5.0,0.0,0.0,97.1,0.0,23.0,
5000,80153.0,97275.0,DebtCon,Other,1.0,0.0,0.0,120.67506316,2.0,10.0,37.512708409
5000,51209.0,55320.0,DebtCon,Unknown,5.0,,1.0,69.107465597,,15.0,35.025072968
5100,30755.0,46735.0,HomeImp,Other,10.0,0.0,0.0,69.0,0.0,17.0,
5100,9900.0,30451.0,HomeImp,Other,11.0,0.0,0.0,21.2,0.0,2.0,
5100,15500.0,34000.0,DebtCon,Other,0.0,1.0,2.0,86.233333333,2.0,13.0,
5100,74071.0,97064.0,DebtCon,Other,0.0,0.0,0.0,121.0759726,2.0,9.0,36.401729548
5100,62702.0,79784.0,HomeImp,Other,2.0,0.0,0.0,108.07259081,0.0,15.0,43.290139816
5200,67000.0,77000.0,HomeImp,Other,9.0,0.0,1.0,119.7,0.0,25.0,
5200,19000.0,26000.0,DebtCon,Other,0.0,1.0,0.0,17.2,10.0,7.0,
5200,,9500.0,DebtCon,Other,1.0,0.0,1.0,81.1,1.0,2.0,
5300,51000.0,64000.0,HomeImp,Mgr,10.0,1.0,0.0,98.333333333,0.0,12.0,
5300,97132.0,117343.0,HomeImp,Office,22.0,0.0,0.0,109.93390789,1.0,11.0,35.8385427
5400,53429.0,64505.0,DebtCon,Unknown,5.0,,0.0,69.542430107,,16.0,36.480236299
5400,,65474.0,HomeImp,Office,1.0,0.0,0.0,40.709849004,0.0,4.0,37.848771035
5400,45509.0,57453.0,DebtCon,Sales,4.0,0.0,0.0,95.6,0.0,22.0,
5400,78300.0,88000.0,HomeImp,ProfExe,8.0,0.0,0.0,102.5,3.0,19.0,
5400,48152.0,55760.0,DebtCon,Unknown,6.0,,0.0,78.452125766,,16.0,35.763637997
5500,70481.0,82446.0,HomeImp,Other,8.0,0.0,1.0,116.59197688,0.0,24.0,37.612682724
5500,87765.0,101053.0,DebtCon,ProfExe,22.0,0.0,0.0,55.558049044,2.0,13.0,31.375542416
5500,,12972.0,HomeImp,Other,1.0,0.0,1.0,82.294266354,0.0,2.0,36.986744097
5500,37368.0,48502.0,HomeImp,Mgr,9.0,0.0,2.0,48.995845002,0.0,10.0,33.126483967
5500,,66251.0,HomeImp,Office,1.0,0.0,0.0,43.722336946,0.0,3.0,41.452043532
5600,76407.0,77485.0,HomeImp,Other,9.0,0.0,0.0,91.683770634,0.0,24.0,37.773350976
5700,100934.0,111496.0,HomeImp,Office,23.0,0.0,0.0,117.49959288,0.0,12.0,38.750562668
5700,,68591.0,HomeImp,Office,0.0,0.0,0.0,69.645660473,0.0,4.0,41.185039558
5700,26927.0,35461.0,DebtCon,Other,0.0,1.0,0.0,21.799352154,10.0,6.0,29.439664242
5700,70000.0,84579.0,DebtCon,Sales,0.1,0.0,0.0,95.9,1.0,17.0,
5700,80437.0,109647.0,HomeImp,ProfExe,9.5,0.0,0.0,104.4,0.0,14.0,
5700,77213.0,92661.0,DebtCon,Sales,0.0,0.0,0.0,97.133170952,1.0,16.0,41.777888631
5700,62319.0,82923.0,HomeImp,Other,4.0,0.0,0.0,117.6739652,0.0,15.0,42.464866285
5700,71556.0,79538.0,HomeImp,Other,2.0,0.0,0.0,92.643084556,0.0,15.0,41.21001247
5700,28116.0,33450.0,DebtCon,Other,0.0,1.0,0.0,15.396587392,9.0,7.0,30.017013296
5700,,69172.0,HomeImp,Office,1.0,0.0,0.0,48.853667057,0.0,3.0,38.773685963
5800,27791.0,46833.0,DebtCon,Mgr,3.0,0.0,0.0,83.289062746,1.0,13.0,30.187805389
5800,,73804.0,HomeImp,Office,1.0,0.0,0.0,71.766557161,0.0,4.0,41.287423388
5800,46595.0,58191.0,HomeImp,Other,5.0,0.0,0.0,80.131746414,0.0,17.0,24.140153667
5900,,28000.0,DebtCon,Self,1.0,2.0,1.0,36.766666667,1.0,8.0,
5900,70973.0,77989.0,HomeImp,Other,7.0,0.0,0.0,120.37941429,0.0,24.0,41.442500462
5900,74187.0,78976.0,HomeImp,Other,9.0,0.0,1.0,118.44249103,0.0,24.0,40.110407425
6000,24600.0,30500.0,HomeImp,Other,4.5,0.0,1.0,116.1,8.0,34.0,
6000,65000.0,94355.0,Unknown,Other,26.0,1.0,3.0,69.3,1.0,34.0,
6000,,,HomeImp,Office,13.0,,2.0,122.76666667,,23.0,
6000,42000.0,58305.0,DebtCon,Other,19.0,0.0,0.0,90.0,2.0,13.0,
6000,32446.0,54904.0,HomeImp,Other,2.0,0.0,0.0,51.733333333,1.0,9.0,
6000,22859.0,32200.0,DebtCon,Other,4.0,0.0,0.0,83.333333333,3.0,20.0,
6000,43000.0,57460.0,HomeImp,Other,1.6,1.0,,101.5,,13.0,
6000,53500.0,64790.0,DebtCon,Other,0.1,0.0,2.0,105.4,3.0,18.0,
6000,53227.0,68700.0,HomeImp,Mgr,3.0,0.0,2.0,122.73333333,0.0,23.0,
6000,,43300.0,HomeImp,Other,,,,100.93333333,,9.0,
6000,40000.0,54600.0,HomeImp,ProfExe,4.0,0.0,4.0,101.4,0.0,19.0,
6000,18793.0,27750.0,HomeImp,Mgr,6.0,0.0,3.0,119.7,0.0,8.0,
6000,179397.0,200000.0,DebtCon,ProfExe,5.0,6.0,0.0,90.3,6.0,29.0,
6100,48500.0,62500.0,DebtCon,Mgr,7.0,,4.0,111.3,2.0,11.0,
6100,47604.0,54966.0,HomeImp,Other,5.0,0.0,0.0,70.69532973,0.0,18.0,24.76674453
6200,75657.0,84368.0,DebtCon,Sales,4.0,0.0,0.0,122.24494502,0.0,30.0,32.552543335
6200,46601.0,59486.0,HomeImp,Other,5.0,0.0,0.0,84.63211066,0.0,18.0,25.35001036
6200,,,DebtCon,Self,3.0,,,80.5,2.0,17.0,
6200,45787.0,64854.0,DebtCon,Unknown,4.0,,1.0,63.117023228,,16.0,36.538747338
6200,45564.0,61956.0,HomeImp,Other,2.0,0.0,,101.16706032,,13.0,38.675140153
6300,,72890.0,HomeImp,Office,1.0,0.0,0.0,41.250113587,0.0,3.0,39.198068218
6300,44226.0,57779.0,DebtCon,Unknown,7.0,,0.0,63.626413251,,16.0,33.111829109
6300,59793.0,98314.0,DebtCon,Self,2.2,0.0,0.0,120.73333333,0.0,8.0,
6300,65875.0,76000.0,DebtCon,Mgr,0.8,2.0,0.0,84.0,1.0,12.0,
6300,49498.0,64296.0,DebtCon,Mgr,6.0,,4.0,111.20651324,1.0,10.0,38.577131937
6300,26655.0,29792.0,DebtCon,Other,1.0,1.0,0.0,12.759267447,10.0,6.0,28.36185178
6400,47251.0,58157.0,HomeImp,Other,0.0,0.0,,104.79246836,,13.0,36.416886965
6400,76732.0,78084.0,HomeImp,Other,8.0,0.0,0.0,109.19302137,0.0,26.0,37.964554318
6400,44968.0,62747.0,HomeImp,Other,0.0,1.0,,101.39144532,,12.0,36.602947343
6400,28041.0,33438.0,DebtCon,Other,1.0,1.0,0.0,10.42564285,10.0,6.0,29.753700283
6500,13600.0,,HomeImp,Other,14.0,2.0,5.0,115.36666667,1.0,16.0,
6500,48000.0,61000.0,DebtCon,Other,1.0,1.0,0.0,97.299756098,6.0,38.0,
6500,22789.0,35836.0,HomeImp,Office,1.0,0.0,0.0,110.56666667,2.0,30.0,
6500,60000.0,70000.0,DebtCon,ProfExe,9.0,0.0,0.0,54.766666667,2.0,24.0,
6500,183860.0,208910.0,DebtCon,ProfExe,4.0,6.0,0.0,86.452226941,6.0,29.0,69.8005248
6500,58689.0,72557.0,DebtCon,Other,0.0,0.0,1.0,94.00805286,2.0,18.0,34.898413066
6600,68733.0,81973.0,HomeImp,Other,5.0,0.0,0.0,96.977667199,0.0,14.0,42.211046784
6600,95450.0,112630.0,HomeImp,Office,23.0,0.0,0.0,122.81558408,0.0,12.0,36.773458722
6700,55113.0,56486.0,HomeImp,Other,4.0,0.0,0.0,84.417030462,0.0,17.0,23.642853829
6700,49367.0,59609.0,HomeImp,Other,6.0,0.0,0.0,99.303700784,0.0,17.0,25.231366381
6700,48430.0,64358.0,HomeImp,Other,0.0,1.0,,108.35174747,,13.0,38.894194746
6700,29662.0,36195.0,HomeImp,Office,1.0,0.0,0.0,112.13708066,1.0,30.0,38.52863281
6700,66587.0,70710.0,DebtCon,ProfExe,9.0,1.0,0.0,43.923382631,1.0,24.0,39.738576265
6800,49809.0,65074.0,DebtCon,Mgr,7.0,,4.0,116.6327333,3.0,10.0,39.215028911
6800,31000.0,42000.0,DebtCon,Mgr,3.5,1.0,0.0,106.26666667,2.0,26.0,
6800,45150.0,57150.0,DebtCon,Office,4.0,0.0,1.0,94.333333333,3.0,12.0,
6800,,27410.0,HomeImp,Mgr,6.0,1.0,0.0,2.0333333333,1.0,5.0,
6800,,72310.0,HomeImp,Office,1.0,0.0,0.0,48.818836477,0.0,3.0,40.787393229
6900,70717.0,87466.0,HomeImp,Other,2.0,0.0,0.0,112.58906066,0.0,15.0,41.428089899
6900,53776.0,51952.0,HomeImp,Other,5.0,0.0,0.0,87.900118337,0.0,17.0,22.286997477
6900,53328.0,58088.0,DebtCon,Sales,2.0,0.0,0.0,101.5319079,0.0,21.0,35.764058362
6900,5816.0,,HomeImp,Mgr,23.0,0.0,2.0,67.8,1.0,18.0,
6900,37055.0,83000.0,HomeImp,Sales,1.0,0.0,0.0,122.26666667,2.0,43.0,
6900,97662.0,110046.0,HomeImp,Office,24.0,0.0,0.0,111.12339734,0.0,11.0,37.253150854
6900,49000.0,68280.0,DebtCon,Other,1.0,0.0,0.0,61.9,8.0,22.0,
6900,50387.0,68443.0,DebtCon,Mgr,7.0,,3.0,105.82732904,2.0,10.0,40.717668846
7000,,47462.0,HomeImp,Other,,,,102.6573271,,9.0,36.094071425
7000,46238.0,66842.0,DebtCon,Office,4.0,0.0,0.0,90.380409083,3.0,11.0,36.30952679
7000,142251.0,157250.0,HomeImp,Other,5.0,0.0,0.0,87.833333333,4.0,21.0,
7000,58843.0,75300.0,HomeImp,Other,1.5,0.0,0.0,103.66666667,0.0,7.0,
7000,55000.0,63000.0,HomeImp,Other,5.0,0.0,0.0,84.733333333,3.0,20.0,
7000,138841.0,160000.0,DebtCon,Mgr,11.0,8.0,0.0,86.2,2.0,36.0,
7000,38800.0,53500.0,HomeImp,ProfExe,15.0,0.0,0.0,96.366666667,0.0,18.0,
7000,64300.0,119500.0,HomeImp,Other,1.0,1.0,0.0,54.833333333,0.0,8.0,
7000,64255.0,68389.0,HomeImp,Other,4.0,0.0,0.0,80.152430908,2.0,19.0,40.561860543
7100,54000.0,74800.0,DebtCon,Mgr,7.5,1.0,1.0,71.0,4.0,18.0,
7100,,74753.0,HomeImp,Office,2.0,0.0,0.0,48.854644654,0.0,4.0,41.302546904
7100,98490.0,114457.0,HomeImp,Office,23.0,0.0,0.0,116.10008714,0.0,11.0,35.601894251
7100,25896.0,33580.0,DebtCon,Other,1.0,0.0,0.0,29.856365166,9.0,7.0,28.271474159
7100,58639.0,72412.0,DebtCon,ProfExe,14.0,0.0,0.0,120.03346455,0.0,20.0,43.678746661
7100,57863.0,70969.0,DebtCon,Other,0.0,0.0,0.0,65.872044812,7.0,21.0,26.829490191
7100,64850.0,76985.0,HomeImp,Other,0.0,0.0,0.0,108.21718977,0.0,7.0,36.337557557
7100,53273.0,54378.0,HomeImp,Other,5.0,0.0,0.0,84.837249966,0.0,17.0,22.861199646
7200,54600.0,65000.0,DebtCon,Other,14.0,2.0,1.0,98.433333333,11.0,9.0,
7200,62329.0,78007.0,DebtCon,ProfExe,8.0,0.0,0.0,55.35880309,1.0,23.0,38.640277109
7200,98691.0,115750.0,HomeImp,Office,22.0,0.0,0.0,118.00014232,0.0,11.0,37.72035861
7200,36264.0,48240.0,DebtCon,Other,15.0,0.0,0.0,82.166666667,0.0,12.0,
7200,,74610.0,HomeImp,Office,1.0,0.0,0.0,40.182134821,0.0,3.0,37.941253769
7200,,76723.0,HomeImp,Other,10.0,0.0,0.0,70.193890188,0.0,11.0,41.250706258
7200,22832.0,31666.0,DebtCon,Other,0.0,0.0,0.0,38.003266851,9.0,7.0,28.295681117
7300,58671.0,87975.0,HomeImp,Mgr,3.0,0.0,0.0,74.066666667,1.0,16.0,
7300,60890.0,75785.0,DebtCon,Other,6.0,0.0,1.0,45.966666667,0.0,13.0,
7300,131000.0,197500.0,DebtCon,ProfExe,1.5,0.0,0.0,68.033333333,2.0,23.0,
7300,49064.0,64225.0,DebtCon,Mgr,6.0,,4.0,106.37599933,1.0,10.0,40.051915231
7300,139348.0,205981.0,DebtCon,ProfExe,1.0,0.0,0.0,60.424760757,2.0,22.0,36.812290634
7400,2063.0,100448.0,HomeImp,Other,,0.0,0.0,96.133333333,0.0,14.0,
7400,51974.0,59323.0,HomeImp,Other,4.0,0.0,0.0,83.34671188,0.0,18.0,23.397634628
7400,71576.0,89068.0,DebtCon,Sales,0.0,0.0,0.0,94.782230694,0.0,17.0,42.803421995
7500,45864.0,57799.0,DebtCon,Unknown,7.0,,0.0,65.57119786,,16.0,33.865745347
7500,57340.0,80000.0,DebtCon,ProfExe,4.0,0.0,5.0,86.233333333,3.0,14.0,
7500,63573.0,80601.0,HomeImp,Other,4.0,0.0,0.0,111.43518985,0.0,14.0,41.773446616
7500,44744.0,60518.0,DebtCon,Unknown,6.0,,0.0,79.411229994,,16.0,34.397441727
7500,84479.0,104571.0,DebtCon,ProfExe,23.0,0.0,0.0,47.832851338,3.0,14.0,33.075010372
7500,88056.0,104794.0,DebtCon,ProfExe,25.0,0.0,0.0,56.750113136,2.0,14.0,30.538906969
7500,35945.0,49750.0,HomeImp,Other,3.0,0.0,0.0,122.06666667,0.0,23.0,
7500,126000.0,151380.0,HomeImp,ProfExe,18.0,0.0,2.0,75.666666667,1.0,13.0,
7500,40936.0,50900.0,DebtCon,Unknown,10.0,1.0,0.0,115.6,1.0,26.0,
7500,39600.0,42000.0,DebtCon,Self,1.0,0.0,0.0,47.7,1.0,15.0,
7500,60192.0,76475.0,DebtCon,ProfExe,8.0,0.0,0.0,60.503625209,2.0,24.0,39.280512379
7600,133475.0,203936.0,DebtCon,ProfExe,1.0,0.0,0.0,87.452870081,2.0,23.0,37.005967843
7600,48829.0,62357.0,DebtCon,Office,3.0,0.0,1.0,92.941357816,2.0,12.0,35.672273609
7600,49926.0,58588.0,DebtCon,Unknown,5.0,,1.0,64.660106948,,16.0,35.051896774
7700,56622.0,70136.0,DebtCon,Mgr,7.0,,4.0,120.7645092,1.0,11.0,38.132345766
7700,20887.0,26958.0,DebtCon,Other,0.0,0.0,0.0,17.460749903,10.0,6.0,30.233504742
7700,14589.0,33100.0,DebtCon,Other,3.0,0.0,7.0,122.06666667,0.0,22.0,
7700,,68131.0,HomeImp,Office,1.0,0.0,0.0,56.609906288,0.0,3.0,40.499820445
7800,44000.0,57500.0,DebtCon,Other,11.0,0.0,0.0,95.366666667,0.0,23.0,
7800,,11702.0,HomeImp,Other,0.0,0.0,0.0,44.629591574,2.0,7.0,21.271785371
7800,58399.0,65945.0,DebtCon,Other,1.0,0.0,1.0,106.63134156,2.0,18.0,37.02476444
7800,58364.0,66688.0,DebtCon,Other,3.0,0.0,2.0,114.51215796,3.0,18.0,37.929273869
7800,69662.0,80498.0,HomeImp,Other,4.0,0.0,0.0,100.42833098,0.0,14.0,42.807341953
7800,45391.0,61743.0,DebtCon,Other,12.0,0.0,0.0,105.08759384,0.0,22.0,36.70541274
7900,67222.0,75189.0,HomeImp,Other,4.0,0.0,0.0,95.676872691,0.0,23.0,36.97971203
7900,44682.0,57285.0,DebtCon,Unknown,7.0,1.0,0.0,110.07185689,1.0,25.0,25.409016713
7900,40827.0,55757.0,DebtCon,Other,14.0,0.0,0.0,87.603462439,0.0,11.0,31.850563903
7900,,67081.0,HomeImp,Office,1.0,0.0,0.0,59.081541425,0.0,4.0,41.077878217
7900,,71519.0,HomeImp,Office,0.0,0.0,0.0,55.873860215,0.0,4.0,38.375091295
7900,77221.0,95316.0,DebtCon,ProfExe,4.0,0.0,0.0,116.30949336,0.0,25.0,35.429796579
7900,42400.0,53000.0,DebtCon,Other,2.0,0.0,1.0,95.366666667,0.0,20.0,
7900,55383.0,70020.0,DebtCon,Other,12.0,2.0,0.0,80.778941503,10.0,8.0,44.858977324
8000,45557.0,56235.0,DebtCon,Unknown,7.0,,1.0,84.691134882,,16.0,36.503160752
8000,82547.0,105361.0,DebtCon,ProfExe,24.0,0.0,0.0,52.59326412,2.0,13.0,32.160922592
8000,70546.0,81272.0,DebtCon,Sales,4.0,0.0,0.0,119.06692204,0.0,31.0,33.361586301
8000,28000.0,41950.0,DebtCon,Office,2.0,0.0,0.0,103.4,1.0,20.0,
8000,47823.0,63000.0,DebtCon,Other,5.0,0.0,0.0,53.666666667,2.0,18.0,
8000,33689.3,48000.0,DebtCon,Other,3.0,0.0,0.0,103.73333333,0.0,13.0,
8000,47306.0,68350.0,HomeImp,Other,9.0,0.0,0.0,82.633333333,0.0,20.0,
8000,45000.0,56100.0,HomeImp,Other,9.9,0.0,0.0,92.3,3.0,34.0,
8000,69341.0,86900.0,DebtCon,Office,15.0,0.0,1.0,89.266666667,0.0,9.0,
8000,70917.0,83500.0,DebtCon,Mgr,8.0,0.0,0.0,107.5,0.0,23.0,
8000,,34226.0,HomeImp,Other,,,1.0,75.366666667,1.0,10.0,
8000,76600.0,96000.0,DebtCon,Mgr,2.0,0.0,0.0,73.033333333,2.0,24.0,
8000,49000.0,60000.0,DebtCon,Mgr,11.0,0.0,0.0,107.53333333,1.0,19.0,
8000,4500.0,,DebtCon,Other,1.0,3.0,2.0,102.43333333,6.0,15.0,
8000,21944.0,31352.0,DebtCon,Other,0.0,1.0,1.0,33.433333333,9.0,3.0,
8000,32100.0,36739.0,HomeImp,Other,4.0,0.0,0.0,79.458845053,2.0,8.0,31.276715679
8000,47154.0,65458.0,DebtCon,Office,2.0,0.0,0.0,99.993789825,3.0,12.0,38.873711304
8000,,68572.0,HomeImp,Office,1.0,0.0,0.0,53.935137714,0.0,4.0,37.703911499
8100,78508.0,200133.0,HomeImp,Self,14.0,0.0,0.0,9.1,,8.0,
8100,48781.0,50434.0,HomeImp,Other,5.0,0.0,0.0,75.635047684,0.0,18.0,24.545192137
8100,53863.0,74705.0,DebtCon,Other,0.0,0.0,0.0,66.294570391,8.0,21.0,26.046469422
8100,81322.0,97823.0,DebtCon,ProfExe,3.0,0.0,0.0,118.46850599,0.0,25.0,32.716777591
8100,46380.0,58745.0,HomeImp,Other,7.0,0.0,0.0,78.360087635,0.0,18.0,22.375341167
8100,54841.0,71400.0,DebtCon,Office,6.0,0.0,0.0,89.233333333,2.0,15.0,
8100,19772.0,39431.0,DebtCon,Other,0.0,0.0,1.0,82.335287775,1.0,12.0,20.342467722
8100,69047.0,82113.0,DebtCon,Sales,3.0,0.0,0.0,121.41114886,0.0,30.0,35.073918357
8100,28187.0,32584.0,DebtCon,Other,0.0,1.0,0.0,27.048834712,10.0,7.0,29.287956831
8100,50373.0,65865.0,DebtCon,Office,5.0,0.0,0.0,99.598169948,2.0,11.0,38.910150834
8200,72986.0,87621.0,DebtCon,Office,14.0,0.0,1.0,86.545727017,0.0,9.0,24.697430423
8200,172497.0,249071.0,DebtCon,Sales,,0.0,0.0,114.98197436,0.0,21.0,41.098025151
8200,58536.0,66546.0,DebtCon,Other,1.0,0.0,2.0,118.39735837,2.0,17.0,34.71164955
8200,68013.0,77008.0,DebtCon,ProfExe,8.0,0.0,0.0,49.146922298,1.0,23.0,40.792589704
8200,66254.0,74994.0,DebtCon,ProfExe,7.0,0.0,0.0,60.384862517,1.0,24.0,39.72610514
