LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,target
20300,36360.0,57905.0,DebtCon,Other,,0.0,0.0,214.97048428,0.0,12.0,39.263094236,0
38900,200731.0,269450.0,DebtCon,ProfExe,3.0,0.0,0.0,237.34429659,0.0,32.0,29.294487897,0
30900,189798.0,301984.0,DebtCon,Other,28.0,0.0,0.0,150.91736328,0.0,22.0,37.236507841,0
21400,88147.0,115000.0,DebtCon,Self,3.0,0.0,0.0,213.23333333,2.0,27.0,,0
11200,23181.0,80140.0,HomeImp,ProfExe,21.0,0.0,0.0,221.4180934,0.0,10.0,25.462641527,0
13800,85805.0,135789.0,DebtCon,ProfExe,15.0,0.0,0.0,303.68822972,0.0,18.0,27.869079212,0
12600,76002.0,94236.0,DebtCon,Other,11.0,0.0,0.0,164.76230423,5.0,21.0,39.52570494,0
18500,14517.0,95150.0,HomeImp,Other,11.0,0.0,0.0,272.03410245,0.0,22.0,27.478583037,0
26800,96895.0,144482.0,DebtCon,Mgr,23.0,0.0,0.0,201.96787517,0.0,13.0,40.162160653,0
8000,37871.0,,HomeImp,ProfExe,15.0,6.0,2.0,179.63333333,0.0,30.0,,1
14300,37000.0,54000.0,DebtCon,Unknown,0.0,0.0,0.0,320.63333333,2.0,26.0,,1
27600,131887.0,174323.0,DebtCon,Mgr,0.0,0.0,0.0,243.05371295,2.0,24.0,35.271867032,0
19600,109500.0,136000.0,DebtCon,ProfExe,12.0,2.0,0.0,183.96666667,3.0,32.0,,1
13900,80960.0,100730.0,DebtCon,Other,0.0,0.0,0.0,153.08755553,0.0,22.0,40.195306935,0
18000,105000.0,172500.0,DebtCon,Office,6.0,0.0,0.0,219.16666667,4.0,24.0,,0
15300,22057.0,44461.0,Unknown,Office,1.0,0.0,0.0,210.27547612,0.0,16.0,40.432252239,0
16500,64081.0,100796.0,HomeImp,ProfExe,22.0,0.0,1.0,243.94168588,1.0,24.0,38.327816354,0
13600,101377.0,131079.0,HomeImp,ProfExe,10.0,0.0,0.0,174.34778761,2.0,32.0,27.969137978,0
28400,53480.0,90560.0,DebtCon,Other,24.0,0.0,1.0,174.47472367,0.0,19.0,24.490839114,0
13000,,28981.0,HomeImp,Unknown,28.0,0.0,0.0,203.90285502,0.0,4.0,25.740930695,0
16400,,51454.0,DebtCon,Other,,,,338.11080678,,17.0,33.491836085,0
24100,77435.0,113000.0,DebtCon,ProfExe,10.0,0.0,1.0,124.76666667,0.0,19.0,,0
11000,85474.0,118125.0,HomeImp,Office,2.5,2.0,0.0,132.93333333,1.0,9.0,,1
22200,138584.0,180415.0,DebtCon,ProfExe,5.0,,,195.63280771,4.0,43.0,41.205399011,0
22800,62754.0,101781.0,HomeImp,ProfExe,19.0,0.0,0.0,628.98194793,0.0,24.0,20.200302232,0
22000,71664.0,98015.0,DebtCon,Mgr,9.0,0.0,0.0,191.31360881,1.0,19.0,34.921021057,0
22600,155056.0,187000.0,DebtCon,Mgr,0.1,0.0,0.0,253.6,0.0,27.0,,1
79900,18363.0,109675.0,HomeImp,Unknown,27.0,0.0,1.0,132.76672403,0.0,13.0,31.642335073,0
32800,189564.0,296728.0,DebtCon,Other,27.0,0.0,0.0,155.53689674,0.0,23.0,38.05331686,0
21400,85609.0,108469.0,DebtCon,Mgr,24.0,,1.0,306.18366191,0.0,43.0,39.919289908,0
23400,81379.0,105005.0,DebtCon,Other,,0.0,0.0,186.89092458,1.0,24.0,37.889768706,0
15100,49533.0,63607.0,DebtCon,Other,2.0,0.0,0.0,180.52329284,0.0,14.0,36.377182949,0
15000,18900.0,80400.0,DebtCon,ProfExe,7.0,0.0,1.0,142.0,0.0,12.0,,1
24000,31243.0,50602.0,HomeImp,Self,3.0,1.0,,135.19851865,,11.0,25.357164928,0
15500,25751.0,43531.0,Unknown,Office,0.0,0.0,0.0,213.35928169,0.0,16.0,37.794991933,0
16800,76852.0,90429.0,DebtCon,Other,6.0,0.0,0.0,183.84300457,3.0,18.0,42.297091696,0
41800,147416.0,227168.0,DebtCon,Self,2.0,0.0,4.0,157.66823593,3.0,28.0,,1
20000,,78232.0,DebtCon,Sales,2.0,0.0,0.0,399.74188176,0.0,23.0,23.948854331,0
40600,362909.0,466731.0,HomeImp,ProfExe,4.0,0.0,0.0,305.81241924,4.0,14.0,42.930339471,0
34100,139035.0,198788.0,DebtCon,ProfExe,23.0,0.0,0.0,171.96329162,1.0,22.0,37.685892078,0
15500,74761.0,92729.0,DebtCon,ProfExe,9.0,0.0,1.0,339.08926344,,42.0,37.47461725,0
12300,77000.0,94000.0,DebtCon,Mgr,41.0,,4.0,212.86666667,4.0,17.0,,1
20400,19265.0,43962.0,DebtCon,Office,5.0,2.0,0.0,177.90470706,1.0,15.0,35.404638874,1
21500,135899.0,186976.0,DebtCon,ProfExe,18.0,0.0,0.0,227.34748644,1.0,24.0,42.660677489,0
14900,49849.0,70075.0,DebtCon,Office,0.0,0.0,0.0,153.69186903,0.0,25.0,30.900915596,0
11800,32257.0,59515.0,DebtCon,Office,23.0,0.0,0.0,231.59994452,0.0,29.0,25.701276422,0
11000,63847.0,86500.0,HomeImp,Office,26.0,0.0,0.0,170.43333333,2.0,14.0,,0
11600,36357.0,56514.0,Unknown,Other,31.0,0.0,0.0,237.81896639,0.0,19.0,20.181582401,0
48200,93127.0,159179.0,DebtCon,Other,16.0,0.0,0.0,216.00862038,8.0,19.0,38.128228035,0
25000,94000.0,125000.0,DebtCon,Office,11.0,0.0,1.0,151.13333333,0.0,29.0,,0
20900,30517.0,58756.0,DebtCon,Other,,0.0,0.0,222.03799456,0.0,12.0,40.42166884,0
15300,96700.0,,HomeImp,Other,5.0,0.0,1.0,225.16666667,0.0,24.0,,1
29300,228059.0,291314.0,DebtCon,ProfExe,16.0,0.0,1.0,259.67720211,2.0,26.0,28.173645541,0
23500,,116983.0,HomeImp,Other,,0.0,1.0,143.4146448,0.0,10.0,35.060319852,1
9400,51505.0,84178.0,HomeImp,Other,19.0,0.0,0.0,202.69796289,0.0,16.0,35.530613427,0
11000,106762.0,123138.0,DebtCon,Unknown,2.0,0.0,0.0,131.01191573,0.0,25.0,32.80374334,0
10700,147477.0,181050.0,HomeImp,Office,6.0,0.0,0.0,190.02108492,1.0,55.0,34.698162391,0
26700,81968.0,114647.0,DebtCon,ProfExe,10.0,0.0,1.0,126.70731968,0.0,19.0,27.056726972,0
12800,46043.0,62531.0,DebtCon,Other,4.0,0.0,0.0,183.98210054,0.0,13.0,26.100802572,0
7900,41935.0,53543.0,DebtCon,Office,8.0,0.0,0.0,203.54460997,1.0,22.0,31.491686795,0
9000,56162.0,75526.0,HomeImp,Other,6.0,0.0,0.0,127.7869696,0.0,15.0,35.734056816,0
16100,68905.0,91572.0,DebtCon,Office,3.0,0.0,0.0,165.45712458,0.0,25.0,24.920119989,0
9000,79259.0,84322.0,HomeImp,Other,22.0,0.0,0.0,359.33227239,1.0,47.0,29.671390341,0
15400,110900.0,126400.0,DebtCon,Unknown,16.0,0.0,0.0,179.56666667,1.0,18.0,,0
18800,91731.0,125902.0,DebtCon,Office,24.0,0.0,0.0,276.7274249,2.0,16.0,32.294304005,0
12800,71531.0,87256.0,HomeImp,Office,26.0,0.0,0.0,167.1637357,1.0,14.0,40.376137593,0
3100,39589.0,36100.0,HomeImp,Other,1.5,0.0,0.0,153.16666667,1.0,14.0,,1
21800,,59736.0,DebtCon,Other,,0.0,0.0,304.73693031,0.0,18.0,36.713113714,0
15700,48093.0,65686.0,DebtCon,ProfExe,3.0,0.0,0.0,149.90637879,1.0,12.0,30.486361232,0
37000,34085.0,70596.0,DebtCon,ProfExe,3.0,0.0,0.0,195.36338382,2.0,18.0,25.59242395,0
22000,54010.0,97800.0,DebtCon,ProfExe,1.0,0.0,0.0,192.73333333,0.0,26.0,,0
23900,140328.0,183533.0,HomeImp,Mgr,8.0,0.0,0.0,322.78811436,0.0,17.0,45.413177555,0
25900,152071.0,185893.0,HomeImp,Self,0.0,0.0,0.0,185.54351198,0.0,16.0,40.642278896,0
10000,76700.0,97800.0,DebtCon,Other,25.0,,10.0,205.23333333,3.0,26.0,,1
9600,53277.0,60843.0,DebtCon,Office,0.0,0.0,0.0,180.28406155,0.0,21.0,37.950787581,0
45700,118247.0,174711.0,DebtCon,Self,11.0,0.0,0.0,170.65222452,0.0,5.0,37.730751386,0
13200,117985.0,138969.0,DebtCon,ProfExe,16.0,,1.0,178.06475237,0.0,33.0,29.954230932,0
22400,25585.0,54049.0,Unknown,ProfExe,20.0,0.0,0.0,251.35800302,0.0,19.0,25.202706374,1
5200,,36425.0,DebtCon,Other,2.0,0.0,0.0,266.81346457,1.0,14.0,23.797401058,0
20000,30000.0,46500.0,HomeImp,Self,5.0,1.0,,127.6,,11.0,,0
15300,127172.0,156578.0,DebtCon,Mgr,,0.0,0.0,213.28602181,0.0,19.0,36.290353532,0
20200,25956.0,92553.0,DebtCon,ProfExe,7.0,0.0,0.0,156.2693203,0.0,21.0,28.290439504,0
23600,136607.0,172414.0,DebtCon,Other,6.0,0.0,0.0,226.04029456,0.0,20.0,36.976930394,0
20500,67852.0,97944.0,HomeImp,Office,14.0,0.0,0.0,141.00534478,0.0,14.0,36.609389404,0
17600,44571.0,66088.0,HomeImp,Office,2.0,0.0,0.0,126.09038158,0.0,17.0,30.871901786,0
20400,81823.0,114832.0,DebtCon,Mgr,18.0,0.0,0.0,234.39204154,4.0,31.0,35.205818844,0
18900,87657.0,117577.0,DebtCon,ProfExe,9.0,0.0,0.0,142.46649495,2.0,19.0,39.96618165,0
23100,75837.0,183443.0,Unknown,Other,9.0,0.0,0.0,377.29103995,0.0,17.0,31.435316117,0
12000,96000.0,135000.0,HomeImp,ProfExe,14.0,0.0,0.0,126.8,5.0,22.0,,0
15600,102881.0,117868.0,DebtCon,Other,11.0,0.0,0.0,287.44113086,2.0,19.0,31.759876787,0
16900,116357.0,209364.0,DebtCon,Other,4.0,0.0,0.0,221.12855483,0.0,16.0,27.900263904,0
37600,141000.0,200300.0,HomeImp,ProfExe,5.0,0.0,0.0,145.63333333,0.0,31.0,,0
10900,116030.0,125179.0,DebtCon,Self,6.0,0.0,0.0,177.08584488,0.0,19.0,33.849092539,0
40400,63131.0,109395.0,DebtCon,Mgr,14.0,0.0,0.0,198.44841872,0.0,21.0,39.55593621,0
7000,83000.0,97635.0,HomeImp,Other,5.6,3.0,0.0,141.0,0.0,10.0,,1
26500,82859.0,,HomeImp,Office,0.4,2.0,0.0,177.5,0.0,22.0,,1
13500,63572.0,102739.0,HomeImp,ProfExe,7.0,0.0,0.0,250.56135691,0.0,12.0,34.913793441,0
17200,48999.0,76544.0,DebtCon,ProfExe,5.0,0.0,0.0,240.52274651,3.0,31.0,32.841753914,0
21300,63263.0,94180.0,DebtCon,Office,1.0,0.0,0.0,138.34845525,1.0,22.0,35.549295097,0
21900,108000.0,144940.0,DebtCon,Other,13.0,0.0,0.0,260.76666667,1.0,22.0,,1
18900,64290.0,87837.0,DebtCon,Other,2.0,0.0,0.0,309.00545799,3.0,15.0,42.168358483,0
25300,46780.0,62536.0,DebtCon,Office,18.0,0.0,0.0,189.13668831,0.0,22.0,30.746724366,0
18600,51936.0,75278.0,DebtCon,ProfExe,3.0,0.0,0.0,199.80175424,0.0,21.0,36.995645842,1
16000,62973.0,87698.0,DebtCon,Office,1.0,0.0,0.0,156.42811549,0.0,24.0,23.570800835,0
20000,56683.0,90600.0,DebtCon,Office,2.0,0.0,0.0,155.2,1.0,22.0,,0
11400,125486.0,195284.0,HomeImp,Office,0.0,0.0,0.0,354.29028718,0.0,15.0,38.143068786,0
10600,44696.0,57686.0,DebtCon,Office,0.0,0.0,0.0,170.34097406,0.0,20.0,37.792555026,0
22200,64809.0,96831.0,HomeImp,ProfExe,17.0,0.0,0.0,639.05817227,0.0,24.0,22.614181908,0
30400,45747.0,78829.0,DebtCon,Office,0.0,0.0,0.0,174.36374815,3.0,18.0,41.256794683,0
49300,40724.0,102546.0,HomeImp,Self,6.0,0.0,0.0,211.44931383,1.0,36.0,39.037679093,0
13300,45860.0,63500.0,HomeImp,ProfExe,7.0,0.0,0.0,127.76666667,4.0,9.0,,1
9500,70000.0,85000.0,DebtCon,ProfExe,9.0,0.0,1.0,175.56666667,1.0,12.0,,0
28700,107281.0,155874.0,DebtCon,ProfExe,10.0,0.0,0.0,173.83583579,0.0,17.0,32.740368493,0
76500,38206.0,90000.0,DebtCon,Other,12.0,0.0,0.0,134.9,0.0,26.0,,1
62500,124491.0,198338.0,DebtCon,ProfExe,10.0,0.0,0.0,324.32073181,1.0,26.0,38.069751444,0
43200,120310.0,178938.0,DebtCon,Self,10.0,0.0,0.0,196.28157917,0.0,5.0,40.165488129,0
23900,,63096.0,DebtCon,Other,,0.0,0.0,313.80972585,0.0,19.0,37.513324048,0
12300,50441.0,56656.0,DebtCon,Office,1.0,0.0,0.0,186.45101665,0.0,21.0,35.452607421,0
9300,39307.0,51680.0,DebtCon,Office,8.0,0.0,0.0,196.0146349,0.0,23.0,30.731571704,0
21300,107012.0,159949.0,DebtCon,Mgr,15.0,0.0,0.0,166.08298277,0.0,26.0,33.355382668,0
23100,235937.0,266793.0,HomeImp,Self,5.0,1.0,0.0,242.61486138,2.0,51.0,36.88704865,0
11200,65508.0,103523.0,DebtCon,Office,12.0,0.0,0.0,154.42736766,0.0,12.0,37.575436102,0
15700,58410.0,89082.0,DebtCon,Office,29.0,0.0,0.0,211.80567437,0.0,21.0,31.058372507,0
13600,13202.0,50848.0,DebtCon,ProfExe,3.0,0.0,0.0,302.20191511,0.0,16.0,16.778576691,0
23600,126254.0,169638.0,DebtCon,ProfExe,6.0,0.0,0.0,176.74916309,0.0,38.0,17.620920214,0
22600,34226.0,85424.0,DebtCon,ProfExe,9.0,0.0,0.0,277.8486564,0.0,18.0,38.005683199,0
10600,50662.0,62491.0,DebtCon,Other,0.0,0.0,0.0,197.70926699,1.0,13.0,26.251888349,0
12000,76187.0,93100.0,DebtCon,Other,0.5,0.0,0.0,144.06666667,0.0,23.0,,0
56800,95321.0,169000.0,DebtCon,Other,3.0,0.0,0.0,239.43333333,4.0,38.0,,1
36500,84978.0,125000.0,DebtCon,Self,10.0,0.0,1.0,213.06666667,0.0,64.0,,1
35000,391000.0,505000.0,DebtCon,ProfExe,4.5,0.0,0.0,192.76666667,0.0,22.0,,1
9800,56188.0,90143.0,HomeImp,Other,17.0,0.0,0.0,171.41365835,0.0,29.0,25.621650412,0
12000,50581.0,70171.0,HomeImp,Other,,0.0,2.0,206.3192338,1.0,12.0,29.843136669,1
50100,256431.0,,Unknown,Other,0.0,0.0,4.0,142.34320495,2.0,25.0,3.342569837,1
12500,69117.0,101503.0,HomeImp,ProfExe,13.0,0.0,7.0,145.95301782,0.0,36.0,36.759984664,1
16600,74681.0,95471.0,DebtCon,Other,6.0,0.0,0.0,187.65351043,4.0,19.0,40.453753155,0
18700,99003.0,162566.0,Unknown,Other,,1.0,,252.26379877,,23.0,39.209039167,0
10200,16322.0,86505.0,DebtCon,Other,8.0,0.0,0.0,259.16381964,0.0,14.0,21.253498139,0
16400,82869.0,94390.0,DebtCon,ProfExe,8.0,0.0,2.0,358.05066023,,42.0,39.060627308,0
15000,5627.0,64962.0,DebtCon,Sales,0.0,0.0,0.0,341.50208471,0.0,6.0,39.996710402,0
89000,54576.0,92937.0,DebtCon,Other,16.0,0.0,0.0,208.69206982,0.0,15.0,35.859970681,0
25400,136322.0,,DebtCon,ProfExe,2.0,0.0,5.0,303.73793473,1.0,27.0,16.644674498,1
20400,41985.0,100096.0,HomeImp,Other,4.0,0.0,0.0,141.03308812,0.0,14.0,32.930781881,0
8200,171456.0,246758.0,DebtCon,Sales,,0.0,0.0,138.15481817,0.0,21.0,40.337860758,0
34100,241931.0,36486.0,DebtCon,Mgr,1.0,0.0,2.0,196.00883159,3.0,50.0,42.458581788,0
17800,8642.0,88369.0,HomeImp,Other,13.0,0.0,0.0,265.02210303,0.0,22.0,26.480792368,0
21000,63405.0,86804.0,DebtCon,Office,5.0,,,156.87275074,,15.0,37.433784588,0
36400,118040.0,164592.0,DebtCon,Other,,0.0,0.0,250.00328319,2.0,13.0,34.322285071,0
5000,81748.0,,DebtCon,ProfExe,14.0,1.0,2.0,144.06666667,2.0,17.0,,1
13800,18714.0,47905.0,HomeImp,Office,25.0,0.0,0.0,259.10302278,0.0,19.0,29.479662342,0
43700,5137.0,67256.0,HomeImp,Office,,0.0,0.0,306.99537109,0.0,18.0,16.678676413,0
21400,113053.0,147467.0,DebtCon,Office,11.0,0.0,2.0,219.1538803,0.0,24.0,41.824914424,0
18800,88828.0,116683.0,DebtCon,ProfExe,6.0,0.0,0.0,141.84139798,1.0,20.0,21.679278339,0
27400,41370.0,70528.0,DebtCon,Office,18.0,0.0,0.0,180.20434499,1.0,21.0,33.495088701,0
28400,112996.0,175817.0,DebtCon,Sales,17.0,0.0,0.0,303.28205506,1.0,31.0,36.289002598,0
8300,67715.0,86945.0,DebtCon,ProfExe,14.0,0.0,0.0,221.47492481,0.0,17.0,25.194297211,0
41400,362578.0,471827.0,HomeImp,ProfExe,1.0,0.0,0.0,292.13598502,4.0,15.0,40.772058491,0
21600,45421.0,75632.0,DebtCon,Office,2.0,0.0,1.0,230.24223467,0.0,11.0,33.457380881,0
25800,,68913.0,DebtCon,Other,26.0,0.0,0.0,123.64448805,0.0,9.0,22.925136063,0
7000,58114.0,93391.0,HomeImp,ProfExe,6.0,0.0,0.0,200.07775507,1.0,24.0,31.736511786,0
6200,,41657.0,HomeImp,Other,,,,293.95872355,,11.0,30.197630728,0
35200,239513.0,37076.0,DebtCon,Mgr,0.0,0.0,1.0,183.37345235,2.0,49.0,40.779848704,0
44500,,50696.0,DebtCon,Other,,5.0,,128.65639343,,20.0,28.187139993,0
15700,111367.0,127421.0,DebtCon,Unknown,16.0,0.0,0.0,184.23480732,1.0,18.0,41.03530607,0
30100,138322.0,186139.0,DebtCon,ProfExe,2.0,0.0,0.0,215.75086797,2.0,19.0,39.189141603,0
5000,,52000.0,HomeImp,Other,,0.0,1.0,285.33333333,0.0,6.0,,1
21800,,60392.0,DebtCon,Other,,0.0,1.0,300.84142875,0.0,18.0,39.419136583,0
21300,94642.0,125062.0,DebtCon,Office,24.0,0.0,0.0,278.691315,2.0,17.0,32.988531805,0
24500,67336.0,96060.0,DebtCon,ProfExe,8.0,0.0,1.0,142.34424975,3.0,25.0,35.979856239,0
14800,88898.0,107208.0,DebtCon,Office,30.0,,0.0,329.76021459,1.0,50.0,36.745013007,0
18300,121001.0,210685.0,DebtCon,Other,2.0,0.0,0.0,192.97728543,0.0,16.0,26.860500326,0
24400,,59888.0,DebtCon,Other,,0.0,0.0,288.2296811,0.0,19.0,38.581332837,0
5500,71644.0,72696.0,HomeImp,Sales,4.0,2.0,0.0,150.86584513,0.0,22.0,40.442567785,0
12100,74594.0,90555.0,DebtCon,Mgr,4.0,0.0,0.0,123.77662458,2.0,27.0,41.634847306,0
6500,51724.0,87770.0,DebtCon,Unknown,4.0,0.0,0.0,209.32631158,4.0,29.0,30.343448604,0
25400,138132.0,243327.0,HomeImp,ProfExe,27.0,0.0,0.0,349.94092953,0.0,19.0,37.820054519,0
30000,32657.0,76000.0,DebtCon,Other,,,,288.33333333,0.0,16.0,,0
9400,52598.0,74747.0,DebtCon,Mgr,6.0,,,129.34382449,,24.0,42.265466118,0
40000,331000.0,415000.0,DebtCon,ProfExe,22.0,0.0,0.0,242.46666667,8.0,34.0,,1
20000,,128042.0,HomeImp,Other,0.0,0.0,0.0,314.53333333,3.0,21.0,,0
19000,172108.0,195892.0,DebtCon,ProfExe,10.0,0.0,0.0,276.76334062,0.0,38.0,24.475689897,0
16200,86021.0,113030.0,DebtCon,Other,20.0,0.0,0.0,284.15976669,0.0,17.0,26.65016531,0
12300,79838.0,85209.0,DebtCon,ProfExe,8.0,0.0,0.0,173.83862388,0.0,11.0,37.824470796,0
17100,,96036.0,DebtCon,Office,27.0,0.0,0.0,327.00179108,0.0,15.0,12.498669801,0
5000,66435.0,82819.0,HomeImp,Other,2.0,0.0,0.0,125.13062556,0.0,14.0,42.183538672,0
25600,78441.0,128814.0,DebtCon,Office,2.0,0.0,0.0,310.50009981,1.0,24.0,38.738649619,0
10700,55341.0,78062.0,HomeImp,Other,3.0,0.0,1.0,192.59685455,0.0,12.0,28.828649308,0
15200,49428.0,62696.0,DebtCon,Mgr,27.0,0.0,0.0,265.39531284,1.0,16.0,38.500796453,0
21500,30546.0,53300.0,DebtCon,Other,1.0,,,319.78080229,,25.0,33.449009861,0
33900,232317.0,38412.0,DebtCon,Mgr,2.0,0.0,2.0,213.20965137,3.0,50.0,42.557829098,0
21700,47024.0,71628.0,DebtCon,ProfExe,10.0,0.0,0.0,177.60206564,1.0,41.0,37.125361745,0
14500,52440.0,62150.0,DebtCon,Other,4.0,0.0,0.0,174.67690038,0.0,13.0,27.191720909,0
13500,80223.0,108491.0,DebtCon,ProfExe,4.0,0.0,4.0,127.8,2.0,27.0,,1
18800,166737.0,199303.0,DebtCon,ProfExe,9.0,0.0,0.0,270.88268753,1.0,38.0,25.532128787,0
7000,58128.0,93740.0,HomeImp,ProfExe,5.0,0.0,0.0,213.36302767,2.0,24.0,34.475301929,0
87000,48980.0,89764.0,DebtCon,Other,14.0,0.0,0.0,209.04311656,0.0,16.0,36.088037065,0
6800,71666.0,99913.0,HomeImp,Other,0.0,0.0,1.0,196.46499893,0.0,31.0,35.761604731,0
9000,93521.0,126024.0,HomeImp,Other,9.0,,,411.75308126,1.0,49.0,41.664281039,0
11000,45000.0,63775.0,DebtCon,Other,14.0,0.0,0.0,173.16666667,0.0,18.0,,1
32000,92400.0,215000.0,Unknown,Self,2.5,1.0,3.0,165.33333333,1.0,40.0,,1
16200,118585.0,131940.0,DebtCon,Sales,5.0,0.0,0.0,202.38516993,2.0,40.0,23.977112224,1
26300,94337.0,123054.0,DebtCon,ProfExe,0.0,1.0,0.0,204.91733941,2.0,38.0,35.725852186,0
18400,116228.0,148722.0,DebtCon,Other,1.0,0.0,0.0,159.16923466,2.0,25.0,38.079761822,1
11100,52028.0,77316.0,HomeImp,Other,,0.0,2.0,194.48489733,1.0,12.0,30.797674365,1
16500,48491.0,112677.0,HomeImp,Office,2.0,,2.0,138.0960861,1.0,23.0,37.253333224,0
25600,58606.0,89508.0,DebtCon,Other,8.0,1.0,0.0,140.71275774,2.0,30.0,41.669963714,0
10800,35602.0,73077.0,DebtCon,Self,,0.0,1.0,179.89655998,1.0,20.0,53.584883008,1
20200,105278.0,180304.0,DebtCon,Office,6.0,0.0,0.0,218.65781872,3.0,24.0,41.80676309,0
6300,12476.0,32559.0,HomeImp,Office,12.0,3.0,6.0,227.12990511,0.0,23.0,23.31951678,1
27100,140305.0,237302.0,HomeImp,ProfExe,27.0,0.0,0.0,349.51426763,2.0,18.0,37.420847161,0
22400,40605.0,76986.0,DebtCon,ProfExe,9.0,0.0,0.0,276.27591395,0.0,19.0,39.730192796,0
23900,80406.0,108122.0,DebtCon,Other,17.0,0.0,0.0,211.92327535,0.0,13.0,41.494839796,0
5500,,13770.0,HomeImp,Mgr,5.0,0.0,1.0,167.36666667,1.0,8.0,,1
22800,127010.0,171758.0,Unknown,Mgr,25.0,,5.0,335.61565087,0.0,27.0,32.365041562,0
12900,34655.0,57787.0,Unknown,Other,31.0,0.0,0.0,244.99538458,0.0,18.0,21.415504297,0
20000,70862.0,201500.0,Unknown,Mgr,9.3,0.0,1.0,290.16670565,1.0,25.0,,1
13000,59000.0,83187.0,HomeImp,Other,,0.0,0.0,292.1,0.0,20.0,,0
30800,15428.0,45495.0,DebtCon,Other,28.0,0.0,0.0,200.50912433,0.0,15.0,42.387985513,0
17600,88661.0,114922.0,DebtCon,Other,13.0,0.0,0.0,152.75401017,1.0,7.0,36.766273628,0
15000,62674.0,76950.0,HomeImp,Mgr,8.0,1.0,5.0,249.53333333,0.0,31.0,,1
13100,58039.0,68558.0,HomeImp,Other,29.0,1.0,2.0,184.88001057,1.0,23.0,37.347348766,0
20500,53438.0,118731.0,DebtCon,ProfExe,14.0,0.0,0.0,258.52106943,0.0,20.0,26.146927186,0
